Id,Country_Region,Province_State,Date,ConfirmedCases,Fatalities,country+province,Lat,Long,day_from_jan_first,temp,min,max,stp,slp,dewp,rh,ah,wdsp,prcp,fog
1,Afghanistan,,22-01-2020,0,0,Afghanistan-,33,65,22,42.6,33.6,54.9,999.9,1024.3,27.4,0.545708895,0.186448305,9.4,0,0
2,Afghanistan,,23-01-2020,0,0,Afghanistan-,33,65,23,42,32.7,55.9,999.9,1020.8,22.8,0.461259457,0.163224758,14.9,99.99,1
3,Afghanistan,,24-01-2020,0,0,Afghanistan-,33,65,24,40.1,36.9,43.2,999.9,1018.6,34.5,0.801794166,0.325375475,10.4,0.17,1
4,Afghanistan,,25-01-2020,0,0,Afghanistan-,33,65,25,46,37.9,56.3,999.9,1018,37.8,0.728174942,0.2145624,6.1,0.57,1
5,Afghanistan,,26-01-2020,0,0,Afghanistan-,33,65,26,42.8,36.1,53.1,999.9,1014.8,33.2,0.685513147,0.231656139,10.8,0,1
6,Afghanistan,,27-01-2020,0,0,Afghanistan-,33,65,27,43,36.5,50.7,999.9,1015.7,35.6,0.748684704,0.25032472,3.7,0.04,0
7,Afghanistan,,28-01-2020,0,0,Afghanistan-,33,65,28,41.7,34.7,48.2,999.9,1016.9,34.7,0.759514372,0.273882427,2.4,0,0
8,Afghanistan,,29-01-2020,0,0,Afghanistan-,33,65,29,15.2,13.3,16.9,774.1,1024.7,0.2,0.509437435,-0.035772859,2.4,0,0
9,Afghanistan,,30-01-2020,0,0,Afghanistan-,33,65,30,15.2,13.3,16.9,774.1,1024.7,0.2,0.509437435,-0.035772859,2.4,0,0
10,Afghanistan,,31-01-2020,0,0,Afghanistan-,33,65,31,5.6,4.8,7.7,774.4,1031,-0.6,0.751688388,-0.021931256,1.9,0,1
11,Afghanistan,,01-02-2020,0,0,Afghanistan-,33,65,32,5.6,4.8,7.7,774.4,1031,-0.6,0.751688388,-0.021931256,1.9,0,1
12,Afghanistan,,02-02-2020,0,0,Afghanistan-,33,65,33,20.5,3.9,36,773.4,1020.7,12.6,0.710900739,-0.091563629,4.5,1.73,1
13,Afghanistan,,03-02-2020,0,0,Afghanistan-,33,65,34,20.5,3.9,36,773.4,1020.7,12.6,0.710900739,-0.091563629,4.5,1.73,1
14,Afghanistan,,04-02-2020,0,0,Afghanistan-,33,65,35,4.2,-0.6,12.9,775.4,1033.3,-1.3,0.775353796,-0.020155895,3.3,0,1
15,Afghanistan,,05-02-2020,0,0,Afghanistan-,33,65,36,4.2,-0.6,12.9,775.4,1033.3,-1.3,0.775353796,-0.020155895,3.3,0,1
16,Afghanistan,,06-02-2020,0,0,Afghanistan-,33,65,37,43.1,29.1,58.1,999.9,1020.9,22,0.427460611,0.142181263,1.7,0,0
17,Afghanistan,,07-02-2020,0,0,Afghanistan-,33,65,38,44.5,31.6,60.3,999.9,1022.4,18.4,0.347638241,0.108347246,5.7,0,0
18,Afghanistan,,08-02-2020,0,0,Afghanistan-,33,65,39,47.8,34.5,63.5,999.9,1021.2,17.2,0.291265973,0.08141187,7.7,0,0
19,Afghanistan,,09-02-2020,0,0,Afghanistan-,33,65,40,36.9,31.1,42.1,773.3,1011,29.4,0.739946463,0.437795446,4.3,0.08,1
20,Afghanistan,,10-02-2020,0,0,Afghanistan-,33,65,41,36.9,31.1,42.1,773.3,1011,29.4,0.739946463,0.437795446,4.3,0.08,1
21,Afghanistan,,11-02-2020,0,0,Afghanistan-,33,65,42,39.5,32.7,47.7,771.4,1007.1,31,0.713001566,0.305257579,6.7,0.12,1
22,Afghanistan,,12-02-2020,0,0,Afghanistan-,33,65,43,39,30,46,772.2,1008.4,29.2,0.675737949,0.30396453,10.1,0.04,1
23,Afghanistan,,13-02-2020,0,0,Afghanistan-,33,65,44,23.1,13.6,37.8,780.1,1027.9,12.7,0.63984408,-0.118833709,5.6,1.81,1
24,Afghanistan,,14-02-2020,0,0,Afghanistan-,33,65,45,24.2,11.3,35.1,779.8,1026.8,7.4,0.482739817,-0.107119133,7.2,0,0
25,Afghanistan,,15-02-2020,0,0,Afghanistan-,33,65,46,26.3,19.6,35.8,780.7,1026.8,16.2,0.652304851,-0.216135256,5.6,0,0
26,Afghanistan,,16-02-2020,0,0,Afghanistan-,33,65,47,24.2,17.4,33.1,783.2,1031.3,11.9,0.589910874,-0.130900206,4.7,0,0
27,Afghanistan,,17-02-2020,0,0,Afghanistan-,33,65,48,32.9,28.2,41.4,782.4,1025.2,15.1,0.475172091,1.305094869,5.9,0,0
28,Afghanistan,,18-02-2020,0,0,Afghanistan-,33,65,49,32.8,24.6,46.2,779.3,1021.2,21.5,0.627644361,1.931573206,6.5,0.04,1
29,Afghanistan,,19-02-2020,0,0,Afghanistan-,33,65,50,23.9,16.2,33.1,778.6,1025.4,12.1,0.602640499,-0.127168273,5,0.04,1
30,Afghanistan,,20-02-2020,0,0,Afghanistan-,33,65,51,26,12.9,38.3,778.5,1024.1,10.1,0.505431337,-0.157133084,7.2,0,0
31,Afghanistan,,21-02-2020,0,0,Afghanistan-,33,65,52,34.5,22.6,44.4,778.5,1019.1,23.1,0.627170567,0.661173585,6.4,0,1
32,Afghanistan,,22-02-2020,0,0,Afghanistan-,33,65,53,37.9,26.4,52,781.1,1020.7,22.4,0.532220261,0.272038349,5.6,0,1
33,Afghanistan,,23-02-2020,0,0,Afghanistan-,33,65,54,39.3,28.2,50.2,779.4,1017.7,23.8,0.534254227,0.233166778,6.4,0,1
34,Afghanistan,,24-02-2020,1,0,Afghanistan-,33,65,55,40,32.4,48,778.4,1015.9,32.7,0.748905197,0.306514235,4,0.47,1
35,Afghanistan,,25-02-2020,1,0,Afghanistan-,33,65,56,40.2,32.9,47.5,778.1,1015.4,28.2,0.618932608,0.249074281,5.8,0,1
36,Afghanistan,,26-02-2020,1,0,Afghanistan-,33,65,57,46.7,35.2,55.9,775.4,1008.4,28.2,0.482120528,0.138939395,6.2,0,1
37,Afghanistan,,27-02-2020,1,0,Afghanistan-,33,65,58,39.3,33.4,48,772.6,1008.7,33.4,0.791610444,0.345485815,5.8,1.57,1
38,Afghanistan,,28-02-2020,1,0,Afghanistan-,33,65,59,36.5,29.5,44.8,773.4,1011.4,29.9,0.767225029,0.486527356,2.8,0.47,1
39,Afghanistan,,29-02-2020,1,0,Afghanistan-,33,65,60,36.5,29.5,44.8,773.4,1011.4,29.9,0.767225029,0.486527356,2.8,0.47,1
40,Afghanistan,,01-03-2020,1,0,Afghanistan-,33,65,61,58.6,45.7,73.4,999.9,1014.2,31,0.348009558,0.086068866,1.4,0,0
41,Afghanistan,,02-03-2020,1,0,Afghanistan-,33,65,62,36.3,32.2,48.7,771.7,1009.2,31.3,0.818553666,0.538934894,5.8,0,1
